timestamp,temperature,humidity,air_quality,pm1_0,pm2_5,pm10
2025-04-30T07:41:51.931832,20.84,30.76,92.67,0,24,57
2025-04-30T07:41:51.931879,32.36,65.85,46.72,11,27,47
2025-04-30T07:41:51.931894,34.44,70.74,88.72,6,28,97
2025-04-30T07:41:51.931916,32.72,72.14,29.99,10,47,24
2025-04-30T07:41:51.931940,21.34,51.18,92.09,6,21,25
2025-04-30T07:41:51.931951,38.92,20.52,2.03,2,45,16
2025-04-30T07:41:51.931963,31.68,72.5,82.11,9,7,80
2025-04-30T07:41:51.931977,38.28,40.15,87.81,2,38,12
2025-04-30T07:41:51.931991,23.89,37.42,85.02,3,32,64
2025-04-30T07:41:51.932003,20.94,23.57,46.32,4,25,70
